"","student","mean","sd","min","max","outcome"
"1","N01267873",63.3333333333333,11.5470053837925,50,70,"Commendation"
"2","N0180245",82,13.114877048604,70,96,"Mid Distinction"
"3","N0634488",85,5,80,90,"High Distinction"
"4","N0803849",82,13.114877048604,70,96,"Mid Distinction"
"5","N0818541",53.3333333333333,15.2752523165195,40,70,"Pass"
"6","N0857071",92.6666666666667,2.51661147842358,90,95,"High Distinction"
"7","N0872554",96,0,96,96,"Exceptional Distinction"
"8","N0926472",94,3.46410161513775,90,96,"Exceptional Distinction"
"9","N0926631",56.6666666666667,11.5470053837925,50,70,"Mid Pass"
"10","N0940699",40,30,10,70,"Low Fail"
"11","N1064293",68.3333333333333,2.88675134594813,65,70,"High Commendation"
"12","N1065382",30,0,30,30,"Low Fail"
"13","N1113528",30,10,20,40,"Low Fail"
"14","N1117404",66.6666666666667,5.77350269189626,60,70,"Mid Commendation"
"15","N1132652",41.6666666666667,2.88675134594813,40,45,"Mid Fail"
"16","N1143383",51.3333333333333,3.21455025366432,49,55,"Pass"
"17","N1170650",90.6666666666667,9.23760430703401,80,96,"High Distinction"
"18","N1173931",92.3333333333333,6.35085296108588,85,96,"High Distinction"
"19","N1175007",70,27.8388218141501,40,95,"Distinction"
"20","N1195028",63.3333333333333,2.88675134594813,60,65,"Commendation"
"21","N1202363",60,5,55,65,"Commendation"
"22","N1211939",90,5,85,95,"High Distinction"
"23","N1215085",33.3333333333333,20.8166599946613,10,50,"Low Fail"
"24","N1217093",87.6666666666667,8.02080627701064,80,96,"High Distinction"
"25","N1219880",94,3.46410161513775,90,96,"Exceptional Distinction"
"26","N1220566",50,0,50,50,"Pass"
"27","N1222862",96.3333333333333,2.3094010767585,95,99,"Exceptional Distinction"
"28","N1227879",66.6666666666667,11.5470053837925,60,80,"Mid Commendation"
"29","N1237419",80,17.3205080756888,60,90,"Mid Distinction"
"30","N1237783",38.3333333333333,17.5594229214212,20,55,"Low Fail"
"31","N1238035",40,0,40,40,"Low Fail"
"32","N1241896",51.6666666666667,12.5830573921179,40,65,"Pass"
"33","N1242232",50,0,50,50,"Pass"
"34","N1244400",50,5,45,55,"Pass"
"35","N1250060",36.6666666666667,28.8675134594813,20,70,"Low Fail"
"36","N1252774",40,0,40,40,"Low Fail"
"37","N1254607",53.3333333333333,2.88675134594813,50,55,"Pass"
"38","N1255116",96,5.19615242270663,90,99,"Exceptional Distinction"
"39","N1255456",84,20.7846096908265,60,96,"Mid Distinction"
"40","N1258034",50,0,50,50,"Pass"
"41","N1258554",50,10,40,60,"Pass"
"42","N1261632",68.3333333333333,16.0727512683216,50,80,"High Commendation"
